INTENT,UTTERANCES
AddFeedbackComment,?? add comment to my feedback
AddFeedbackComment,add comment to my feedback
AddFeedbackComment,feedback comment
AddFeedbackComment,i want to add comment to my feedback
ViewSupportTickets,all support tickets
ViewSupportTickets,all tickets
ViewSupportTickets,check my tickets
ViewSupportTickets,check service now ticket status
ViewSupportTickets,check ticket status
ViewSupportTickets,did the status of my ticket change
ViewSupportTickets,display status of my tickets
ViewSupportTickets,get my ticket status
ViewSupportTickets,get ticket status
ViewSupportTickets,has the status of my ticket changed
ViewSupportTickets,how to follow up my ticket
ViewSupportTickets,i want to know status of snow ticket
ViewSupportTickets,i want to know the status of my ticket
ViewSupportTickets,i want to update a comment
ViewSupportTickets,i'd like to know my ticket status
ViewSupportTickets,incident
ViewSupportTickets,know my incident status
ViewSupportTickets,know my request status
ViewSupportTickets,my ticket status
ViewSupportTickets,my tickets check
ViewSupportTickets,provide ticket status
ViewSupportTickets,search ticket
ViewSupportTickets,service now ticket
ViewSupportTickets,service now ticket status
ViewSupportTickets,service now tickets
ViewSupportTickets,show all my tickets
ViewSupportTickets,show me my tickets
ViewSupportTickets,show my tickets
ViewSupportTickets,show/view my pending tickets
ViewSupportTickets,snow ticket status
ViewSupportTickets,stage of the ticket
ViewSupportTickets,status of all my tickets
ViewSupportTickets,status of my issue reported
ViewSupportTickets,status of my ticket
ViewSupportTickets,status of the ticket
ViewSupportTickets,status of ticket
ViewSupportTickets,support tickets
ViewSupportTickets,ticket information
ViewSupportTickets,ticket search
ViewSupportTickets,ticket status
ViewSupportTickets,update comment
ViewSupportTickets,view my ticket
ViewSupportTickets,view my tickets
ViewSupportTickets,view support tickets
ViewSupportTickets,view ticket status
ViewSupportTickets,what is going on with my ticket
ViewSupportTickets,what is the stage of my ticket
None,"as an employee who received the benefit of ewt,"
None,can you send me a new password for my pc?
None,how to contact natixis?
None,however i’m based outside india. will i be eligible for employee welfare trust?
None,hrc123
None,hrc234
None,i am a schneider electric india employee
None,i need to change the first name in a profile declared in ids. how to do it?
None,i need to report my expenses
None,i want to resign
None,inc123
None,leave
None,leave management
None,paid leave
None,policy
None,req123
None,ritm123
None,sick / care leave
None,welcome day
None,what do i do with my amex card if i change legal entity?
None,what is stepup?
None,what should i do with my amex card if i change legal entity?
AskMeAnyThing,ask me anything
AskMeAnyThing,ask random questions
AskMeAnyThing,free text
AskMeAnyThing,gpt3
AskMeAnyThing,openai
NotHelpfulFreeText,bad
NotHelpfulFreeText,not helpful
NotHelpfulFreeText,not useful
NotHelpfulFreeText,very bad
LeaveBalance,balance of my leaves
LeaveBalance,check days off balance
LeaveBalance,check leave
LeaveBalance,check my annual leave quota
LeaveBalance,check my leave balance
LeaveBalance,check my paid leave balance
LeaveBalance,check my privileged leave balance
LeaveBalance,holiday balance
LeaveBalance,holidays list
LeaveBalance,how many days leave i have
LeaveBalance,how many leave do i have
LeaveBalance,how many leaves
LeaveBalance,how many leaves can i avail
LeaveBalance,how many leaves can i take
LeaveBalance,leave balance
LeaveBalance,leave days balance
LeaveBalance,leave quota
LeaveBalance,my leave balance
LeaveBalance,my leave quota
LeaveBalance,pay link
LeaveBalance,paylink
LeaveBalance,pto balance
LeaveBalance,pto days
LeaveBalance,remaining leave days
LeaveBalance,what is my annual leave quota
LeaveBalance,what is my current paid leave balance?
LeaveBalance,what is my leave balance
MainMenuInterruption,bon soir
MainMenuInterruption,bonjour
MainMenuInterruption,bonjour jo
MainMenuInterruption,bonsoir
MainMenuInterruption,bonsoir jo
MainMenuInterruption,can you tell more about yourself?
MainMenuInterruption,good afternoon
MainMenuInterruption,good evening
MainMenuInterruption,good evening jo
MainMenuInterruption,good morning
MainMenuInterruption,good morning jo
MainMenuInterruption,hello
MainMenuInterruption,hello bot
MainMenuInterruption,hello chatbot
MainMenuInterruption,hello jo
MainMenuInterruption,hello there
MainMenuInterruption,hello virtual assistant
MainMenuInterruption,here i am
MainMenuInterruption,hey
MainMenuInterruption,hey bot
MainMenuInterruption,hey virtual assistant
MainMenuInterruption,hi
MainMenuInterruption,hi bot
MainMenuInterruption,hi va
MainMenuInterruption,hi virtual assistant
MainMenuInterruption,hola
MainMenuInterruption,home
MainMenuInterruption,how can you help me?
MainMenuInterruption,i am here
MainMenuInterruption,i'm back
MainMenuInterruption,morning
MainMenuInterruption,restart
MainMenuInterruption,restart chat
MainMenuInterruption,show me how you can help
MainMenuInterruption,welcome
MainMenuInterruption,what are you?
MainMenuInterruption,what can i use this app for?
MainMenuInterruption,what can i use this chatbot for?
MainMenuInterruption,what can this app do?
MainMenuInterruption,what can this chatbot do?
MainMenuInterruption,what can you do?
MainMenuInterruption,what is this app about?
MainMenuInterruption,what is this app?
MainMenuInterruption,what is this chatbot about?
MainMenuInterruption,what is this chatbot?
MainMenuInterruption,who is this?
MainMenuInterruption,yo
GetTalentLinkDetails,business unit
GetTalentLinkDetails,business unit of mine
GetTalentLinkDetails,can you confirm my cost center
GetTalentLinkDetails,can you give me the name of my hr business partner please
GetTalentLinkDetails,can you give me the name of my hrbp please
GetTalentLinkDetails,can you tell me my bu please
GetTalentLinkDetails,change my business unit
GetTalentLinkDetails,change my cost center
GetTalentLinkDetails,change my department
GetTalentLinkDetails,change my hrbp
GetTalentLinkDetails,change my job code
GetTalentLinkDetails,change my job title
GetTalentLinkDetails,change my legal entity
GetTalentLinkDetails,change my location
GetTalentLinkDetails,check my bu
GetTalentLinkDetails,check my business location please
GetTalentLinkDetails,check my business title
GetTalentLinkDetails,check my business unit
GetTalentLinkDetails,check my cc
GetTalentLinkDetails,check my cost center
GetTalentLinkDetails,check my costcenter
GetTalentLinkDetails,check my department information
GetTalentLinkDetails,check my job code
GetTalentLinkDetails,check my job name
GetTalentLinkDetails,check my job position
GetTalentLinkDetails,check my job title
GetTalentLinkDetails,check my legal entity
GetTalentLinkDetails,check my location
GetTalentLinkDetails,check the name of my hrbp
GetTalentLinkDetails,confirm my business title please
GetTalentLinkDetails,confirm my business unit
GetTalentLinkDetails,confirm my department
GetTalentLinkDetails,confirm my job name
GetTalentLinkDetails,confirm my legal entity
GetTalentLinkDetails,confirm my location
GetTalentLinkDetails,correct my business unit
GetTalentLinkDetails,correct my cost center
GetTalentLinkDetails,correct my department
GetTalentLinkDetails,correct my hrbp
GetTalentLinkDetails,correct my job code
GetTalentLinkDetails,correct my job title
GetTalentLinkDetails,correct my legal entity
GetTalentLinkDetails,correct my location
GetTalentLinkDetails,cost center
GetTalentLinkDetails,cost centre
GetTalentLinkDetails,department
GetTalentLinkDetails,find my job code
